president,presidentid,povertyper,ppovertyper,npovertyper,civilper,pcivilper,middleper
Johnson,1,17.51583119,17.51583119,0,5.373283171,5.373283171,5.082908589
Nixon,2,16.98666637,12.05643454,4.930231832,3.315559429,3.315559429,5.201249315
Ford,3,23.93425488,19.91496228,4.019292605,3.220300055,3.220300055,4.63678441
Carter,4,24.4113771,24.4113771,0,8.463146445,8.463146445,9.445753072
Reagan,5,28.65255325,19.78712282,8.865430429,2.792829284,2.792829284,8.205131556
H.W. Bush,6,16.88833919,11.36499056,5.523348628,5.196515977,5.196515977,10.66051616
Clinton,7,25.99070816,17.45296153,8.537746624,5.641745491,5.641745491,19.4363531
W. Bush,8,13.15745021,12.26907451,0.888375695,4.081671908,3.268173893,19.11976876
Obama,9,10.63888993,10.63888993,0,3.596459585,3.596459585,29.23310236
